name,isolate,host,country,date,SOURCE,latitude,longitude,coordinates,coordinate_loc,coordinate_comment,general_comment,ACE2,submission_date
OK017849.1,YN2016C,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017850.1,YN2016D,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017851.1,YN2016E,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017792.1,GD2017F,Rhinolophus affinis,Guangdong,2017-08,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017813.1,GD2017G,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017814.1,GD2017H,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017815.1,GD2017I,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017816.1,GD2017J,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017817.1,GD2017K,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017818.1,GD2017L,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
