name;isolate;host;country;date;fn_coordinates;coordinate_comment
OK017832.1;HN2021C;Rhinolophus sinicus;Hunan;2021-02;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017833.1;HN2021D;Rhinolophus sinicus;Hunan;2021-02;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017834.1;HN2021E;Rhinolophus sinicus;Hunan;2021-03;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017835.1;HN2021F;Rhinolophus sinicus;Hunan;2021-03;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017860.1;JX2021D;Rhinolophus siamensis;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017836.1;JX2021AC;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017837.1;JX2021C;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017838.1;JX2021G;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017839.1;JX2021J;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017840.1;JX2021K;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017841.1;JX2021L;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017842.1;JX2021M;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017843.1;JX2021N;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017844.1;JX2021O;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017845.1;JX2021P;Rhinolophus sinicus;Jiangxi;2021-07;"(29.3952620453471; 118.18944945846812);(27.39680947489184; 117.10190616773555);(24.696138211171643; 115.79556883881091);(25.293907394400634; 114.09299913931616);(27.998111833936; 113.8624690224471);(29.64059694101293; 115.26045953723)";province-level
OK017806.1;YN2021;Rhinolophus pusillus;Yunnan;2021-04;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
EPI_ISL_412977;RmYN02;Rhinolophus malayanus;Yunnan;2019-06-25;"(21.471956729071447; 101.55679203892701)";
KY938558.1;16BO133;Rhinolophus ferrumequinum;South Korea;2016-04-17;"(35.474422132221775; 127.1448101262695)";
