name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
OK017851.1	YN2016E	Rhinolophus sinicus	Yunnan	2016-08	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017792.1	GD2017F	Rhinolophus affinis	Guangdong	2017-08	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017813.1	GD2017G	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017814.1	GD2017H	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017815.1	GD2017I	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017816.1	GD2017J	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017817.1	GD2017K	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017818.1	GD2017L	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017819.1	GD2017M	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017820.1	GD2017N	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017821.1	GD2017O	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017822.1	GD2017P	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017823.1	GD2017Q	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017824.1	GD2017W	Rhinolophus sinicus	Guangdong	2017-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017846.1	SC2018B	Rhinolophus sinicus	Sichuan	2016-08	10.1093/nsr/nwac213	31.34931671010588	102.62903716097208	Sichuan	province-level			SC1
OK017825.1	GD2019A	Rhinolophus sinicus	Guangdong	2019-08	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017826.1	GD2019B	Rhinolophus sinicus	Guangdong	2019-08	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017827.1	GD2019D	Rhinolophus sinicus	Guangdong	2019-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017828.1	GD2019E	Rhinolophus sinicus	Guangdong	2019-09	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017859.1	GX2019A	Rhinolophus siamensis	Guangxi	2019-09	10.1093/nsr/nwac213	23.80307649605036	110.74813931498792	Guangxi	province-level			SC1
OK017801.1	HB2020D	Rhinolophus sp.	Hubei	2020-07	10.1093/nsr/nwac213	31.695111423993936	111.07961660868963	Hubei	province-level			SC1
OK017802.1	HB2020E	Rhinolophus sp.	Hubei	2020-07	10.1093/nsr/nwac213	31.695111423993936	111.07961660868963	Hubei	province-level			SC1
OK017794.1	LN2020A	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017795.1	LN2020B	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
